Unnamed: 0,SMILES,target_OPRD1_standard_value,compound_id
60,CN(CCc1ccccn1)C1C2C3CC4C5C3CC2C5C41,5.55486,57
62,CC(CF)NCC(O)COc1cccc2[nH]c3ccccc3c12,5.0,58
64,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.864498918301663,59
65,CCCCN1CCC(COC(=O)c2ccc(N)c(OC)c2)CC1,5.0,60
66,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,5.493495386961137,61
67,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,7.4399259808599805,62
68,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,4.546975140533762,63
69,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.85,64
70,O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3nsnc3c1)CC2,5.385,65
71,O=C1NCN(c2ccccc2)C12CCN([C@@H]1Cc3cccc4cccc1c34)CC2,7.0,66
72,CCCN(CCc1ccccc1)CCc1cccc(O)c1,5.43013876269346,67
73,Cc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,5.85,68
74,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.0,69
75,Oc1cccc(CCN(CCc2ccccc2)CC2CC2)c1,5.0,70
76,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,5.573853277315915,71
78,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.42,72
79,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,7.307153080722768,73
80,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,6.070974282761152,74
81,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,6.02,75
82,Oc1nc2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.42481,76
83,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,7.307590343269207,77
84,CCCCCN(CCc1ccccc1)CCc1cccc(O)c1,5.880536061793555,78
85,CCCCN(CCc1ccccc1)CCc1cccc(O)c1,5.617285621298717,79
86,CCCCCCN(CCc1ccccc1)CCc1cccc(O)c1,5.449272137445873,80
88,COc1cccc2sc(Nc3nc(-c4ccccn4)cs3)nc12,4.49485,81
92,CN(C)C[C@H]1CCCC[C@]1(O)c1cccc(O)c1,5.5509497978719855,82
93,COc1cccc(C2(O)CCCCC2CN(C)C)c1,8.029218036600074,83
94,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,5.0,84
95,Cc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.010084375892182,85
97,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1O,9.160766969754247,86
98,c1ccc([C@]2(CCNCc3cccs3)CCOC3(CCCC3)C2)nc1,6.12247,87
99,N=C1S/C(=C\c2ccc(-c3cccc(Cl)c3)o2)C(=O)N1c1nccs1,4.49485,88
104,NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3CCCc2ccccc2)c1,5.4,89
108,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(F)c1,7.888685549231052,90
109,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cc(O)ccc32)cc1,8.822606246981437,91
110,CCN1CCc2cc(C3=CC4(CCNCC4)Oc4ccccc43)ccc2C1=O,7.9195062452803375,92
111,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1C,8.480992020040704,93
112,CC[C@@]1(c2cccc(N=S(C)(=O)O)c2)[C@H]2CN(CC3(O)Cc4ccccc4C3)C[C@H]21,6.77,94
113,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,8.906430178484529,95
114,NC(=O)c1cccc(C[C@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,4.572659310542325,96
119,NC(=O)c1cccc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,4.516090624716834,97
121,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,4.261464253107326,98
124,COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,5.551419999999999,99
126,NC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.668637769655431,100
128,C=S(O)(O)=Cc1ccc(CN2[C@H]3CC[C@@H]2CC(Oc2cccc(C(N)=O)c2)C3)cc1,5.26849,101
129,CC(C)CNC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.888685549231052,102
130,O=C(c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)N1CCCC1,7.460909058960253,103
133,CN(Cc1ccccc1)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,7.653614373724173,104
135,C[C@@H]1CN(CCO)CCN1c1cc2nc(SC(C)(C)C)[nH]c2cc1Cl,5.92082,105
136,NC(=O)c1cccc(OC2C[C@@H]3CC[C@H](C2)N3CCc2ccccc2)c1,5.66857,106
139,FC(F)(F)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,6.821954685236079,107
142,OCC1(N2CCC(n3c(N4CC5CNCC5C4)nc4ccccc43)CC2)CCCCCCC1,5.301029995663981,108
